max_leaf_nodes,max_depth,train_score,test_score
6,6,0.9297529176675124,0.9297240079959368
6,4,0.9297529176675124,0.9297240079959368
6,15,0.9297529176675124,0.9297240079959368
6,14,0.9297529176675124,0.9297240079959368
6,13,0.9297529176675124,0.9297240079959368
6,12,0.9297529176675124,0.9297240079959368
6,11,0.9297529176675124,0.9297240079959368
6,10,0.9297529176675124,0.9297240079959368
6,9,0.9297529176675124,0.9297240079959368
6,8,0.9297529176675124,0.9297240079959368
6,7,0.9297529176675124,0.9297240079959368
6,5,0.9297529176675124,0.9297240079959368
15,5,0.9297922053286484,0.9297210429684372
7,7,0.9297588478763668,0.9297180777651024
7,8,0.9297588478763668,0.9297180777651024
7,6,0.9297588478763668,0.9297180777651024
7,5,0.9297588478763668,0.9297180777651024
7,9,0.9297588478763668,0.9297180777651024
7,10,0.9297588478763668,0.9297180777651024
7,11,0.9297588478763668,0.9297180777651024
7,12,0.9297588478763668,0.9297180777651024
7,13,0.9297588478763668,0.9297180777651024
7,14,0.9297588478763668,0.9297180777651024
7,15,0.9297588478763668,0.9297180777651024
5,6,0.9297440223487354,0.9297151126496856
5,5,0.9297440223487354,0.9297151126496856
5,4,0.9297440223487354,0.9297151126496856
5,15,0.9297440223487354,0.9297151126496856
5,14,0.9297440223487354,0.9297151126496856
5,13,0.9297440223487354,0.9297151126496856
5,12,0.9297440223487354,0.9297151126496856
5,11,0.9297440223487354,0.9297151126496856
5,10,0.9297440223487354,0.9297151126496856
5,9,0.9297440223487354,0.9297151126496856
5,8,0.9297440223487354,0.9297151126496856
5,7,0.9297440223487354,0.9297151126496856
8,11,0.929764778087969,0.9297151126496852
8,13,0.929764778087969,0.9297151126496852
8,14,0.929764778087969,0.9297151126496852
8,12,0.929764778087969,0.9297151126496852
9,13,0.9297677431923962,0.9297151126496852
8,15,0.929764778087969,0.9297151126496852
9,15,0.9297677431923962,0.9297151126496852
9,14,0.9297677431923962,0.9297151126496852
9,12,0.9297677431923962,0.9297151126496852
9,11,0.9297677431923962,0.9297151126496852
9,10,0.9297677431923962,0.9297151126496852
9,8,0.9297677431923962,0.9297151126496852
9,7,0.9297677431923962,0.9297151126496852
9,6,0.9297677431923962,0.9297151126496852
8,9,0.929764778087969,0.9297151126496852
9,5,0.9297677431923962,0.9297151126496852
